"Target","Incoming","Live","Completed","Ended","Connected","Paid","Converted","No Connect","Duplicate","Blocked","IVR Hangup","RPC","Revenue","Payout","Profit","Margin","Conversion %","TCL","ACL","Total Cost"
"-no value-","1177","0","131","267","0","0","0","1177","551","136","910","0","0.00","0.00","0.00","0.00%","0.00%","06:56:23","00:00:23","42.595"
"Leads Mogul - Medicare (English) - RTT - T2","531","2","529","529","531","274","274","0","190","0","0","17.81758034026465","9425.50","9404.50","21.00","0.22%","51.60%","150:40:00","00:17:05","325.64"
"DMS - Medicare (English)","370","0","370","370","370","313","313","0","184","0","0","15.227027027027027","5634.00","5626.80","7.20","0.13%","84.59%","72:52:55","00:11:49","159.285"
"Leads Mogul - Medicare (English) - RTT - T1","328","1","327","327","328","181","181","0","106","0","0","19.40519877675841","6345.50","6329.75","15.75","0.25%","55.18%","88:39:34","00:16:16","191.87"
"EXACT - Medicare (English) RTT - 4","161","2","159","159","161","136","136","0","66","0","0","15.823899371069182","2516.00","2514.15","1.85","0.07%","84.47%","33:20:34","00:12:34","73.01"
"Leadeconomy  -  Medicare (English) - RTB","83","0","83","83","83","44","44","0","38","0","0","16.96385542168675","1408.00","1404.80","3.20","0.23%","53.01%","14:14:59","00:10:18","31.29"
"CallSync-Production - Medi English","82","0","82","82","82","64","64","0","36","0","0","17.170731707317074","1408.00","1401.40","6.60","0.47%","78.05%","15:07:59","00:11:04","33.075"
"UGP Overflow old line - Medicare (English) - RTT","75","0","75","75","75","72","72","0","54","0","0","14.4","1080.00","1078.50","1.50","0.14%","96.00%","11:41:23","00:09:21","25.97"
"ScaleClub Bundle - Medicare (English) - RTB","61","0","61","61","61","36","36","0","29","0","0","7.396721311475409","451.20","444.867","6.333","1.40%","59.02%","11:01:46","00:10:50","24.395"
"HLG RTB - Medicare (English) - MIX","52","0","52","52","52","32","32","0","34","0","0","11.859615384615385","616.70","614.708","1.992","0.32%","61.54%","12:14:00","00:14:06","26.565"
"Clearlink - Medicare (English) - CPA","49","0","49","49","49","0","0","0","31","0","0","0","0.00","0.00","0.00","0.00%","0.00%","19:55:12","00:24:23","42.595"
"NMSIG Main - Medicare (English) - RTT","47","0","47","47","47","47","47","0","34","0","0","12","564.00","562.80","1.20","0.21%","100.00%","10:28:04","00:13:21","22.89"
"Excel Impact - Medicare English - RTT - CA Only","45","0","45","45","45","30","30","0","20","0","0","9.483868888888889","426.7741","426.7741","0.00","0.00%","66.67%","07:07:54","00:09:30","15.68"
"Mass Nexus - Medicare (English) - T2","43","0","43","43","43","19","19","0","32","0","0","10.006976744186046","430.30","430.30","0.00","0.00%","44.19%","06:40:29","00:09:18","14.805"
"Leadeconomy  -  Medicare (English) - Overflow RTB","40","0","40","40","40","32","32","0","27","0","0","4.277","171.08","167.504","3.576","2.09%","80.00%","07:14:07","00:10:51","15.75"
"Leadnomics  - Medicare (English)  - 2 - RTB","39","1","38","38","39","13","13","0","20","0","0","5.401315789473684","205.25","205.25","0.00","0.00%","33.33%","03:51:08","00:06:04","8.785"
"Agent Boost - Medicare (English) - RTT","37","0","37","37","37","18","18","0","25","0","0","12.162162162162161","450.00","450.00","0.00","0.00%","48.65%","04:44:00","00:07:40","10.57"
"Rank - Medicare (English) - RTB","36","0","36","36","36","23","23","0","20","0","0","12.777777777777779","460.00","458.00","2.00","0.43%","63.89%","06:27:51","00:10:46","14.14"
"HLG RTB-1 - Allstate_Tier 2- Medicare (English)","32","0","32","32","32","25","25","0","21","0","0","5.099374999999999","163.18","160.556","2.624","1.61%","78.13%","03:52:03","00:07:15","8.75"
"Rubicon - Medicare (English) - RTB","32","0","32","32","32","8","8","0","21","0","0","4.7859375","153.15","153.15","0.00","0.00%","25.00%","02:49:22","00:05:17","6.30"
"HLG RTB - 1 - Allstate -Tier 3 - Medicare (English)","27","0","27","27","27","25","25","0","14","0","0","5.982962962962962","161.54","159.572","1.968","1.22%","92.59%","06:12:12","00:13:47","13.44"
"Leadeconomy  -  Medicare (English) - RTB - 99","26","0","26","26","26","16","16","0","12","0","0","16.246153846153845","422.40","422.40","0.00","0.00%","61.54%","04:52:20","00:11:14","10.71"
"Rubicon - Medicare (English) - RTT","26","0","26","26","26","12","12","0","14","0","0","5.729615384615385","148.97","148.97","0.00","0.00%","46.15%","02:48:38","00:06:29","6.335"
